node_id,fragility_index,theta_deg,theta_fail,in_degree
0,14,0.3065995443426962,0.6679789291819213,43
1,4,0.2628465268036625,0.6371900417359293,14
2,3,0.30404120503797094,0.5832759088639373,12
3,7,0.35489846557450105,0.814908507419743,20
4,2,0.1594567595536852,0.5946728834807706,10
5,5,0.43475452809116066,0.647095651080845,19
6,7,0.26337257285889826,0.6497478986964733,19
7,5,0.25228639243155615,0.43093601099064155,17
8,8,0.2162425950174059,0.9116367072131033,24
9,3,0.3745433618235836,0.5923962885788674,6
10,4,0.35399843868636843,0.7238359733974339,13
11,2,0.3995552961441681,0.4349533439772588,12
12,4,0.3714469937778839,0.633221292507091,17
13,1,0.32104039540031054,0.4861170705760033,9
14,2,0.3262814278839333,0.5992329516415117,5
15,3,0.3748194955259896,0.776550102913369,13
16,3,0.22979096054386638,0.7281164404151776,14
17,2,0.2963283129292074,0.711995866931412,6
18,2,0.33054973921481967,0.70007319087501,9
19,4,0.2637968820515355,0.4744875328494734,10
20,4,0.3577331905282498,0.536048744687529,9
21,3,0.2718269274190421,0.7046002705146466,8
22,6,0.3538237619648127,0.7859533523051062,10
23,1,0.31124986353848927,0.695462496525522,3
24,1,0.3370048546408197,0.7069095033795173,5
25,2,0.17858776682423766,0.7045120163030123,6
26,1,0.2311761962211308,0.7198527252193092,4
27,2,0.40756550203388986,0.6980902613732267,8
28,6,0.31424690566698765,0.539467877871457,13
29,1,0.2934945371336843,0.7472804793987856,5
30,3,0.3770960594831841,0.559819880594115,6
31,2,0.3600711126470232,0.5030911052492786,7
32,1,0.2962593115480156,0.6628791684164439,5
33,3,0.2485535287981556,0.5166005747573347,6
34,3,0.4568747861784245,0.5418366714035289,8
35,2,0.35525763617605693,0.6601767297390613,8
36,2,0.17423559109283415,0.5677564995517493,5
37,3,0.3671572374891072,0.5610372598903244,7
38,3,0.3614782410082282,0.6955907128156873,11
39,3,0.36511342451456524,0.7610390759233427,10
40,2,0.26768841177953245,0.7231089305558169,11
41,2,0.41770649996069587,0.7398307250268321,5
42,1,0.2401600468581921,0.5016823427586123,5
43,4,0.3968908532773414,0.7154063574237723,8
44,1,0.3234069170019569,0.6486968878230693,3
45,2,0.4357871116800761,0.578315584203937,8
46,1,0.2689110538954796,0.6198268908757351,5
47,1,0.35571391696476085,0.6117438412215118,6
48,2,0.3675865253775734,0.5451009267178573,6
49,1,0.27409914585378375,0.4550175696184581,6
50,2,0.3009001769945007,0.687042264732082,6
51,2,0.2668317750643989,0.675592441373629,4
52,3,0.3382594628348008,0.7829645093124655,7
53,1,0.3550835814411077,0.763949412369257,3
54,4,0.27666751978989496,0.6684937800666146,6
