metric,value
mode,stochastic
n_nodes,80
monte_carlo_trials,40
stochastic_k,8.0
elapsed_monte_carlo_s,1.9017
elapsed_det_fragility_s,0.0049
rmse_det_vs_stochastic,0.300514
mape_det_vs_stochastic_pct,92.1707
spearman_rho,0.71459
spearman_p_value,0.0
stochastic_mean_cascade_mean,0.304
stochastic_mean_cascade_std,0.1208
