perturbation,seed_node,cascade_size_fraction,time_to_stability,n_trials,std_cascade_size
-0.2,0,1.0,8.6,15,0.0
-0.2,6,1.0,8.4,15,0.0
-0.2,3,1.0,9.533333333333333,15,0.0
-0.2,8,1.0,8.8,15,0.0
-0.2,5,1.0,9.0,15,0.0
-0.2,1,1.0,8.933333333333334,15,0.0
-0.2,16,1.0,8.733333333333333,15,0.0
-0.2,40,1.0,9.4,15,0.0
-0.2,12,1.0,9.333333333333334,15,0.0
-0.2,11,1.0,8.466666666666667,15,0.0
-0.1,0,0.9575,12.0,15,0.16460179221381524
-0.1,6,0.9450000000000001,12.733333333333333,15,0.21301408404140784
-0.1,3,0.9458333333333333,13.466666666666667,15,0.20978659791956838
-0.1,8,0.81,12.333333333333334,15,0.39336574220800813
-0.1,5,1.0,14.066666666666666,15,0.0
-0.1,1,0.9433333333333334,12.933333333333334,15,0.2194690562850869
-0.1,16,1.0,14.4,15,0.0
-0.1,40,0.9416666666666667,14.066666666666666,15,0.22592402852876595
-0.1,12,0.8816666666666667,12.466666666666667,15,0.3131730846550849
-0.1,11,0.8891666666666667,12.533333333333333,15,0.2959121290100122
-0.05,0,1.0,15.333333333333334,15,0.0
-0.05,6,0.6425,12.066666666666666,15,0.4534540061729367
-0.05,3,0.8366666666666667,15.133333333333333,15,0.33900019314504964
-0.05,8,0.6375,12.0,15,0.4635364833846106
-0.05,5,0.935,16.533333333333335,15,0.2517439175034821
-0.05,1,0.7491666666666668,14.133333333333333,15,0.43075065983975114
-0.05,16,0.8333333333333334,16.333333333333332,15,0.34543149344937646
-0.05,40,0.6950000000000001,14.133333333333333,15,0.4470588408060589
-0.05,12,0.6483333333333334,12.533333333333333,15,0.4505667727059627
-0.05,11,0.8116666666666666,15.0,15,0.38995382815820395
0.0,0,0.8325,17.866666666666667,15,0.34871575612729133
0.0,6,0.49583333333333335,10.8,15,0.4325657120462685
0.0,3,0.4341666666666667,10.0,15,0.4159613077244198
0.0,8,0.4133333333333333,9.666666666666666,15,0.4430884572547349
0.0,5,0.46166666666666667,11.333333333333334,15,0.46181094101168196
0.0,1,0.5816666666666667,13.866666666666667,15,0.4638461747277041
0.0,16,0.4533333333333334,11.466666666666667,15,0.4681953067236954
0.0,40,0.5325,13.066666666666666,15,0.4549774327213541
0.0,12,0.5366666666666667,13.066666666666666,15,0.4520159868643502
0.0,11,0.33666666666666667,7.533333333333333,15,0.4168993397977616
0.05,0,0.4975,13.133333333333333,15,0.4307437504728635
0.05,6,0.28833333333333333,6.266666666666667,15,0.3699802922679351
0.05,3,0.3416666666666666,8.933333333333334,15,0.347139672726919
0.05,8,0.17083333333333334,5.466666666666667,15,0.2369197171637523
0.05,5,0.18166666666666667,6.2,15,0.2491891612715892
0.05,1,0.16999999999999998,5.6,15,0.2985007178742265
0.05,16,0.10833333333333334,4.066666666666666,15,0.08771232741725864
0.05,40,0.26249999999999996,7.933333333333334,15,0.3062226664186886
0.05,12,0.21916666666666665,6.8,15,0.32351538198508023
0.05,11,0.22416666666666668,6.666666666666667,15,0.3253592336977406
0.1,0,0.15333333333333332,4.133333333333334,15,0.11274444342764535
0.1,6,0.13416666666666666,2.7333333333333334,15,0.10377545585587777
0.1,3,0.13416666666666668,2.7333333333333334,15,0.04943128949311742
0.1,8,0.07166666666666667,2.6666666666666665,15,0.04367766128398012
0.1,5,0.09916666666666667,3.933333333333333,15,0.07249794742578843
0.1,1,0.15833333333333335,5.333333333333333,15,0.27595882629393065
0.1,16,0.06166666666666666,2.533333333333333,15,0.054171245227738765
0.1,40,0.16166666666666665,5.2,15,0.23902081997380978
0.1,12,0.06500000000000002,2.0,15,0.01901597073139162
0.1,11,0.05416666666666667,1.6,15,0.028608606763566465
0.2,0,0.10499999999999997,1.7333333333333334,15,0.028268483207578417
0.2,6,0.09416666666666666,1.4666666666666666,15,0.01406828584677845
0.2,3,0.10833333333333335,2.0,15,0.013908716006604671
0.2,8,0.04583333333333332,1.5333333333333334,15,0.022493385271060932
0.2,5,0.04083333333333334,1.8,15,0.04493712538753718
0.2,1,0.05083333333333332,1.8,15,0.02384223942821607
0.2,16,0.065,2.8,15,0.04705619740571601
0.2,40,0.055000000000000014,1.2,15,0.013194966572793686
0.2,12,0.05500000000000002,1.4666666666666666,15,0.010350983390135312
0.2,11,0.05083333333333333,1.8666666666666667,15,0.016681540981690196
