node_id,det_fragility_index,det_fragility_frac,stochastic_mean_cascade,stochastic_variance,ci_95_low,ci_95_high,theta_deg,theta_fail,in_degree
0,7,0.0875,0.6425000000000001,0.1793573717948718,0.5070561952834829,0.7779438047165173,0.3065995443426962,0.6419677600744135,27
1,3,0.0375,0.503125,0.21037459935897437,0.3564364619759749,0.6498135380240252,0.2628465268036625,0.6427526900889415,12
2,4,0.05,0.42093749999999996,0.18785566907051282,0.28232203631838415,0.5595529636816158,0.30404120503797094,0.6689223343050391,9
3,8,0.1,0.5884375000000001,0.1922066306089744,0.4482259752850394,0.7286490247149607,0.35489846557450105,0.5760400321399703,15
4,2,0.025,0.31343750000000004,0.16535566907051283,0.18338788414976065,0.4434871158502394,0.1594567595536852,0.6517307909715081,9
5,2,0.025,0.484375,0.2059835737179487,0.33922540660991485,0.6295245933900852,0.43475452809116066,0.5260692432533643,13
6,7,0.0875,0.4878125,0.18340935496794872,0.35084728896843687,0.6247777110315631,0.26337257285889826,0.7726832290863783,15
7,2,0.025,0.395,0.19927724358974358,0.25223281944054055,0.5377671805594595,0.25228639243155615,0.8019203680454561,10
8,3,0.0375,0.45843749999999994,0.20378515625,0.31406455930437194,0.602810440695628,0.2162425950174059,0.5395601019853508,13
9,1,0.0125,0.18562499999999998,0.12177524038461539,0.07402118847450034,0.2972288115254996,0.3745433618235836,0.6927307314303466,4
10,2,0.025,0.50375,0.229400641025641,0.3505718419764533,0.6569281580235468,0.35399843868636843,0.6279025578808958,10
11,3,0.0375,0.33625,0.17362820512820518,0.20298697505450874,0.46951302494549124,0.3995552961441681,0.6613715425728075,10
12,4,0.05,0.545625,0.19672716346153843,0.4037742310871927,0.6874757689128074,0.3714469937778839,0.6562852443444754,11
13,1,0.0125,0.255,0.16647275641025638,0.12451183781734276,0.38548816218265725,0.32104039540031054,0.7693088206504786,7
14,1,0.0125,0.158125,0.1059979967948718,0.05400159587324732,0.26224840412675265,0.3262814278839333,0.7053271659745054,4
15,2,0.025,0.495,0.21765865384615388,0.3457935839647194,0.6442064160352806,0.3748194955259896,0.5631482610082319,10
16,2,0.025,0.5409375,0.19025631009615387,0.40143915215849035,0.6804358478415096,0.22979096054386638,0.6580181498861998,11
17,2,0.025,0.3440625,0.19046464342948718,0.204487796729671,0.483637203270329,0.2963283129292074,0.6482437389784995,4
18,2,0.025,0.30156249999999996,0.17012970753205126,0.1696488895854043,0.4334761104145956,0.33054973921481967,0.5701770895657594,6
19,2,0.025,0.29500000000000004,0.1740528846153846,0.1615740997046653,0.4284259002953348,0.2637968820515355,0.6704338117976565,6
20,3,0.0375,0.395,0.185375,0.25730279934861666,0.5326972006513834,0.3577331905282498,0.6477210657753802,7
21,1,0.0125,0.3075,0.18857211538461538,0.16862046116241425,0.44637953883758574,0.2718269274190421,0.785927401351669,6
22,3,0.0375,0.2921875,0.1523773036858974,0.16734580070687138,0.4170291992931286,0.3538237619648127,0.6312127593275754,5
23,1,0.0125,0.3321875,0.1996625600961538,0.18928236092545414,0.4750926390745459,0.31124986353848927,0.6940992907838182,3
24,1,0.0125,0.2015625,0.14014573317307694,0.08183622540602455,0.3212887745939755,0.3370048546408197,0.4252129656479946,5
25,1,0.0125,0.20999999999999996,0.13753365384615387,0.091394720924399,0.32860527907560094,0.17858776682423766,0.4822389319940211,4
26,1,0.0125,0.3596875,0.20770422676282058,0.2139329246549596,0.5054420753450404,0.2311761962211308,0.6827230451925809,4
27,2,0.025,0.349375,0.1865060096153846,0.211258379161177,0.48749162083882297,0.40756550203388986,0.6629049074665441,6
28,3,0.0375,0.3896875000000001,0.18844461137820515,0.250854921159321,0.5285200788406792,0.31424690566698765,0.7408819190944295,6
29,2,0.025,0.38156249999999997,0.19572906650641025,0.24007202921001472,0.5230529707899852,0.2934945371336843,0.5347757410751242,5
30,1,0.0125,0.21625,0.1397451923076923,0.09669493853542523,0.3358050614645748,0.3770960594831841,0.6215180743978256,3
31,2,0.025,0.30281250000000004,0.16917057291666668,0.17127125764438073,0.43435374235561935,0.3600711126470232,0.40076224624868356,6
32,1,0.0125,0.27249999999999996,0.16087500000000002,0.14422447251929593,0.400775527480704,0.2962593115480156,0.5663402896586409,3
33,1,0.0125,0.1346875,0.08775230368589744,0.03994850083846904,0.22942649916153093,0.2485535287981556,0.6066663364269026,3
34,1,0.0125,0.40093750000000006,0.21838451522435895,0.25148249970422043,0.5503925002957797,0.4568747861784245,0.6403098776263452,6
35,2,0.025,0.33625,0.17612019230769232,0.20203405772607064,0.47046594227392935,0.35525763617605693,0.5945218108140763,6
36,1,0.0125,0.1990625,0.14091656650641024,0.07900741607864556,0.3191175839213545,0.17423559109283415,0.7454104061109549,3
37,3,0.0375,0.4034375,0.1836777844551282,0.26637209762561737,0.5405029023743826,0.3671572374891072,0.5052183932461104,6
38,2,0.025,0.375625,0.19546434294871795,0.23423024451385377,0.5170197554861462,0.3614782410082282,0.5216902987909013,7
39,1,0.0125,0.21000000000000002,0.1375496794871795,0.09138781108739776,0.3286121889126023,0.36511342451456524,0.6960356974248602,7
40,4,0.05,0.5934375000000001,0.20816496394230768,0.4475213551167289,0.7393536448832712,0.26768841177953245,0.6120888941720022,11
41,1,0.0125,0.26749999999999996,0.1655753205128205,0.13736403662438842,0.39763596337561147,0.41770649996069587,0.78365512350613,3
42,1,0.0125,0.2,0.12661057692307695,0.08620202785404221,0.31379797214595784,0.2401600468581921,0.7189122126515556,4
43,1,0.0125,0.260625,0.16753645833333333,0.12972061507895488,0.3915293849210451,0.3968908532773414,0.6832664784254631,4
44,1,0.0125,0.27718750000000003,0.1803115985576923,0.14138387551434448,0.41299112448565556,0.3234069170019569,0.4785914064839064,3
45,2,0.025,0.4184374999999999,0.19354156650641025,0.2777399110788279,0.5591350889211719,0.4357871116800761,0.5882390170012881,5
46,1,0.0125,0.2884375,0.1778556690705128,0.15356190127224803,0.423313098727752,0.2689110538954796,0.6767985770563153,4
47,1,0.0125,0.25,0.1683333333333333,0.1187846657909992,0.3812153342090008,0.35571391696476085,0.5856154848016726,4
48,1,0.0125,0.1853125,0.10665775240384616,0.08086555468154671,0.28975944531845327,0.3675865253775734,0.6782144611996768,5
49,1,0.0125,0.19156250000000002,0.12463451522435896,0.0786560653157847,0.3044689346842153,0.27409914585378375,0.6799291493315872,3
50,1,0.0125,0.2046875,0.13878756009615384,0.0855427803584635,0.3238322196415365,0.3009001769945007,0.5668747258561805,4
51,1,0.0125,0.1725,0.107661858974359,0.0675625596919617,0.2774374403080383,0.2668317750643989,0.538628204504793,3
52,2,0.025,0.25375000000000003,0.12696474358974358,0.1397929759656542,0.36770702403434585,0.3382594628348008,0.7467495612520328,4
53,1,0.0125,0.30656249999999996,0.19120983573717948,0.16671502048838496,0.446409979511615,0.3550835814411077,0.6548326692082967,3
54,3,0.0375,0.355625,0.1855685096153846,0.21785594828397753,0.4933940517160225,0.27666751978989496,0.6554981913362554,5
55,2,0.025,0.27531249999999996,0.1603484575320513,0.14724706690922407,0.40337793309077585,0.32767484764065324,0.7461437474581445,5
56,2,0.025,0.36062500000000003,0.1833778044871795,0.2236715700035813,0.49757842999641877,0.25344917436766123,0.823320647430089,4
57,2,0.025,0.1278125,0.06613371394230769,0.045567219616713964,0.21005778038328604,0.2583120911110588,0.36906486287614576,4
58,1,0.0125,0.2184375,0.1382210536858974,0.09953619289940897,0.33733880710059105,0.14619305152023104,0.7954597800502222,3
59,4,0.05,0.34781249999999997,0.1701112780448718,0.2159060346221785,0.47971896537782144,0.20607662050779713,0.7498153521450404,7
60,1,0.0125,0.22750000000000004,0.1378221153846154,0.1087704053856872,0.34622959461431285,0.24608530240589865,0.6204231163032115,3
61,1,0.0125,0.22531249999999997,0.1366144831730769,0.10710421922850051,0.34352078077149945,0.30865462059959625,0.7679649798562375,3
62,1,0.0125,0.1275,0.06891185897435899,0.04354501042021734,0.21145498957978265,0.4216263994096198,0.6416501960503777,3
63,1,0.0125,0.081875,0.027731971153846156,0.028616381225011603,0.13513361877498842,0.3215233240723221,0.8097116691568099,3
64,1,0.0125,0.17312499999999997,0.12454767628205128,0.06025790587804425,0.2859920941219557,0.3073088772814338,0.7639304794825805,3
65,1,0.0125,0.29781250000000004,0.17901352163461537,0.1624985887920592,0.4331264112079409,0.3278320864825789,0.6912462454095225,3
66,1,0.0125,0.3315625,0.19944701522435898,0.18873451807380745,0.4743904819261925,0.18788092545871332,0.5877474910131418,5
67,1,0.0125,0.12718749999999995,0.08837249599358972,0.03211430477975927,0.22226069522024064,0.3038704046976308,0.6587374332418615,3
68,3,0.0375,0.209375,0.11502203525641026,0.10090989195345187,0.31784010804654816,0.23055088065075197,0.5624487411167272,5
69,1,0.0125,0.20124999999999998,0.12164102564102564,0.08970770757486718,0.3127922924251328,0.25410235358060007,0.5798009400935868,4
70,2,0.025,0.2346875,0.1300760216346154,0.11934266502422655,0.35003233497577346,0.46290408939500993,0.6679789291819213,3
71,2,0.025,0.353125,0.18835536858974358,0.21432529892005842,0.49192470107994163,0.44778982374032916,0.6371900417359293,4
72,3,0.0375,0.32625,0.1596538461538462,0.19846225044323232,0.4540377495567677,0.37817218362927413,0.5832759088639373,3
73,3,0.0375,0.30031250000000004,0.14976352163461543,0.17654615917644,0.42407884082356007,0.34344059447631575,0.814908507419743,4
74,1,0.0125,0.25125000000000003,0.1680673076923077,0.1201383898864993,0.3823616101135008,0.34028788997035814,0.5946728834807706,3
75,1,0.0125,0.228125,0.15386818910256408,0.10267405113616321,0.3535759488638368,0.2227904910158401,0.647095651080845,3
76,1,0.0125,0.2603125,0.16528756009615386,0.1302896702233228,0.3903353297766772,0.19956393004456244,0.6497478986964733,3
77,1,0.0125,0.1340625,0.08755598958333334,0.03942953232928165,0.22869546767071836,0.3267775945754883,0.43093601099064155,3
78,1,0.0125,0.1746875,0.12457922676282052,0.061806111008408215,0.2875688889915918,0.26422454056318334,0.9116367072131033,3
79,1,0.0125,0.17593750000000002,0.12376111778846152,0.06342736628730498,0.28844763371269505,0.23786242108062672,0.5923962885788674,3
