node_id,trial,cascade_size_frac,time_to_stability
6,31,1.0,24
6,32,0.1375,4
6,33,1.0,22
6,34,1.0,24
6,35,0.1,1
6,36,0.0875,1
6,37,1.0,22
6,38,0.0875,1
6,39,0.1875,3
7,0,0.075,3
7,1,0.1875,4
7,2,0.0625,2
7,3,0.0875,5
7,4,1.0,26
7,5,1.0,24
7,6,1.0,24
7,7,0.025,1
7,8,0.0375,1
7,9,0.75,17
7,10,1.0,23
7,11,1.0,26
7,12,0.1375,3
7,13,0.025,1
7,14,1.0,21
7,15,1.0,25
7,16,0.025,1
7,17,1.0,18
7,18,0.1,3
7,19,0.05,2
7,20,0.0875,4
7,21,1.0,23
7,22,0.025,1
7,23,0.0375,2
7,24,0.125,3
7,25,1.0,23
7,26,0.0625,2
7,27,0.025,1
7,28,0.025,1
7,29,0.0375,2
7,30,0.025,1
7,31,0.05,2
7,32,1.0,23
7,33,0.025,1
7,34,0.025,1
7,35,0.1,3
7,36,0.025,1
7,37,1.0,16
7,38,0.5625,17
7,39,1.0,27
8,0,0.05,1
8,1,1.0,22
8,2,0.0625,2
8,3,1.0,26
8,4,1.0,26
8,5,0.0375,1
8,6,1.0,21
8,7,0.0375,1
8,8,0.0375,1
8,9,0.05,3
8,10,1.0,26
8,11,0.0375,1
8,12,1.0,22
8,13,0.075,4
8,14,0.05,1
8,15,1.0,24
8,16,0.05,1
8,17,0.325,11
8,18,1.0,27
8,19,1.0,25
8,20,0.2,7
8,21,0.175,6
8,22,1.0,27
8,23,0.225,7
8,24,1.0,23
8,25,0.1,4
8,26,1.0,20
8,27,0.0375,1
8,28,1.0,29
8,29,0.0625,2
8,30,0.1,3
8,31,1.0,22
8,32,0.1375,5
8,33,0.0375,1
8,34,0.1625,5
8,35,0.1375,6
8,36,1.0,22
8,37,0.075,3
8,38,0.075,3
8,39,1.0,24
9,0,0.0125,0
9,1,1.0,20
9,2,0.0125,0
9,3,1.0,25
9,4,0.1,3
9,5,0.0375,2
9,6,0.025,1
9,7,0.0125,0
9,8,0.0125,0
9,9,0.9875,22
9,10,0.0125,0
9,11,0.0125,0
9,12,0.0125,0
9,13,0.225,9
9,14,0.0125,0
9,15,0.0125,0
9,16,0.1125,2
9,17,0.025,1
9,18,0.025,1
9,19,0.0375,1
9,20,0.0125,0
9,21,0.125,4
9,22,0.0125,0
9,23,0.0125,0
9,24,0.025,1
9,25,0.15,4
9,26,0.0125,0
9,27,0.0625,2
9,28,0.075,2
9,29,1.0,17
9,30,0.0125,0
9,31,0.15,5
9,32,0.0125,0
9,33,0.0125,0
9,34,0.0125,0
9,35,0.025,1
9,36,1.0,27
9,37,0.0125,0
9,38,0.0125,0
9,39,1.0,19
10,0,1.0,26
10,1,1.0,24
10,2,0.05,3
10,3,1.0,21
10,4,0.0875,4
10,5,1.0,21
10,6,1.0,19
10,7,0.025,2
10,8,1.0,25
10,9,1.0,26
10,10,0.0375,2
10,11,1.0,26
10,12,0.0625,2
10,13,0.075,3
10,14,0.0375,2
10,15,1.0,30
10,16,1.0,23
10,17,1.0,25
10,18,0.025,1
10,19,0.0375,1
10,20,0.0375,2
10,21,1.0,24
10,22,1.0,25
10,23,1.0,27
10,24,0.0875,2
10,25,0.2125,5
10,26,0.075,2
10,27,1.0,24
10,28,0.0625,3
10,29,0.0375,1
10,30,0.0375,2
10,31,1.0,26
10,32,1.0,25
10,33,0.0375,1
10,34,0.025,1
10,35,0.025,1
10,36,0.0375,2
10,37,0.0375,1
10,38,1.0,24
10,39,1.0,27
11,0,1.0,20
11,1,0.0375,1
11,2,0.1375,6
11,3,0.0375,1
11,4,0.1,4
11,5,1.0,27
11,6,0.2,9
11,7,1.0,19
11,8,0.05,1
11,9,1.0,22
11,10,0.125,3
11,11,0.0375,1
11,12,0.2125,7
11,13,0.1,3
11,14,0.0375,1
11,15,0.0625,1
11,16,0.1875,6
11,17,0.05,1
11,18,0.05,1
11,19,0.1,3
11,20,0.0375,1
11,21,0.0375,1
11,22,1.0,28
11,23,0.1125,4
11,24,1.0,25
11,25,1.0,28
11,26,1.0,24
11,27,0.05,3
11,28,0.1125,7
11,29,0.0375,1
11,30,0.075,3
11,31,0.1875,8
11,32,1.0,26
11,33,0.0375,1
11,34,0.0375,1
11,35,0.0375,1
11,36,0.1125,3
11,37,0.05,2
11,38,1.0,27
11,39,1.0,21
12,0,0.1375,4
12,1,1.0,24
12,2,1.0,23
12,3,0.05,1
12,4,0.125,4
12,5,0.1625,5
12,6,0.125,6
12,7,1.0,15
12,8,1.0,21
12,9,1.0,24
12,10,0.0875,4
12,11,0.3875,14
12,12,0.125,3
12,13,0.0625,2
12,14,1.0,28
12,15,0.1375,5
12,16,1.0,29
12,17,1.0,19
12,18,0.075,2
12,19,0.0625,3
12,20,1.0,28
12,21,1.0,17
12,22,0.3,8
12,23,0.125,5
12,24,1.0,24
12,25,0.35,8
12,26,1.0,23
12,27,1.0,26
12,28,1.0,19
12,29,1.0,20
12,30,1.0,22
12,31,0.0625,1
12,32,0.05,3
12,33,1.0,31
12,34,0.05,1
12,35,1.0,21
12,36,0.05,1
12,37,0.225,6
12,38,1.0,22
12,39,0.075,2
13,0,1.0,21
13,1,0.0125,0
13,2,0.0625,4
13,3,0.0625,2
13,4,1.0,27
13,5,0.05,3
13,6,1.0,24
13,7,1.0,22
